"","bgc","ss_nospace","sppsplit","feasible","spp","newfeas","mod","outrange"
"30","BGmk_MT","BGmk_MT/110","Jr",3,"Jr",3,"",FALSE
"31","BGmk_MT","BGmk_MT/111","Aa",2,"Aa",2,"D6",FALSE
"32","BGmk_MT","BGmk_MT/111","Act",5,"Ac",5,"D6",FALSE
"33","BGmk_MT","BGmk_MT/111","Fdi",2,"Fd",2,"D6",FALSE
"34","BGmk_MT","BGmk_MT/Gg2","Jr",3,"Jr",3,"C4",FALSE
"35","BGmk_MT","BGmk_MT/Gg1","X",NA,"X",NA,"",FALSE
"36","BGmk_MT","BGmk_MT/Ro","X",NA,"X",NA,"",FALSE
"37","BGmk_NV","BGmk_NV/110","At",1,"At",1,"",FALSE
"38","BGmk_NV","BGmk_NV/110","Jw",3,"Jw",3,"",FALSE
"39","BGmk_NV","BGmk_NV/110","Om",3,"Om",3,"",FALSE
"40","BGmk_NV","BGmk_NV/111","Aa",3,"Aa",3,"",FALSE
"41","BGmk_NV","BGmk_NV/111","Act",3,"Ac",3,"",FALSE
"42","BGmk_NV","BGmk_NV/111","Af",2,"Af",2,"",FALSE
"43","BGmk_NV","BGmk_NV/111","At",1,"At",1,"",FALSE
"44","BGmk_NV","BGmk_NV/Gg2","Om",3,"Om",3,"",FALSE
"45","BGmk_NV","BGmk_NV/Gg1","X",NA,"X",NA,"",FALSE
"46","BGmk_NV","BGmk_NV/Ro","X",NA,"X",NA,"",FALSE
"47","BGmm_MT","BGmm_MT/110","Fdi",1,"Fd",1,"",FALSE
"48","BGmm_MT","BGmm_MT/110","Jr",3,"Jr",3,"",FALSE
"49","BGmm_MT","BGmm_MT/111","Act",2,"Ac",2,"D6",FALSE
"50","BGmm_MT","BGmm_MT/111","Fdi",5,"Fd",5,"D6",FALSE
"51","BGmm_MT","BGmm_MT/Gg2","Jr",3,"Jr",3,"C4",FALSE
"52","BGmm_MT","BGmm_MT/Gg1","X",NA,"X",NA,"",FALSE
"53","BGmm_MT","BGmm_MT/Ro","X",NA,"X",NA,"",FALSE
"54","BGmw_OR","BGmw_OR/110","Fdi",2,"Fd",2,"",FALSE
"55","BGmw_OR","BGmw_OR/110","Pyi",1,"Py",1,"",FALSE
"56","BGmw_OR","BGmw_OR/111","Act",2,"Ac",2,"",FALSE
"57","BGmw_OR","BGmw_OR/Gg","X",NA,"X",NA,"",FALSE
"58","BGmw_OR","BGmw_OR/Ro","X",NA,"X",NA,"",FALSE
"59","BGmw_WA","BGmw_WA/110","Fdi",2,"Fd",2,"",FALSE
"60","BGmw_WA","BGmw_WA/110","Pyi",1,"Py",1,"",FALSE
"61","BGmw_WA","BGmw_WA/111","Act",2,"Ac",2,"D6",FALSE
"62","BGmw_WA","BGmw_WA/111","Fdi",5,"Fd",5,"D6",FALSE
"63","BGmw_WA","BGmw_WA/111","Pyi",5,"Py",5,"D6",FALSE
"64","BGmw_WA","BGmw_WA/Gg","X",NA,"X",NA,"",FALSE
"65","BGmw_WA","BGmw_WA/Ro","X",NA,"X",NA,"",FALSE
"66","BGwm_WA","BGwm_WA/110","Fdi",1,"Fd",1,"",FALSE
"67","BGwm_WA","BGwm_WA/110","Pyi",1,"Py",1,"",FALSE
"68","BGwm_WA","BGwm_WA/111","Act",2,"Ac",2,"D6",FALSE
"69","BGwm_WA","BGwm_WA/111","Fdi",5,"Fd",5,"D6",FALSE
"70","BGwm_WA","BGwm_WA/111","Pyi",5,"Py",5,"D6",FALSE
"71","BGwm_WA","BGwm_WA/Gg","X",NA,"X",NA,"",FALSE
"72","BGwm_WA","BGwm_WA/Ro","X",NA,"X",NA,"",FALSE
"73","BGxh_WA","BGxh_WA/110","Pyi",2,"Py",2,"",FALSE
"74","BGxh_WA","BGxh_WA/110","Qg",3,"Qg",3,"",FALSE
"75","BGxh_WA","BGxh_WA/111","Act",2,"Ac",2,"D6",FALSE
"76","BGxh_WA","BGxh_WA/111","Fdi",5,"Fd",5,"D6",FALSE
"77","BGxh_WA","BGxh_WA/111","Pyi",5,"Py",5,"D6",FALSE
"78","BGxh_WA","BGxh_WA/Gg2","Jw",3,"Jw",3,"C4",FALSE
"79","BGxh_WA","BGxh_WA/Gg1","X",NA,"X",NA,"",FALSE
"80","BGxh_WA","BGxh_WA/Ro","X",NA,"X",NA,"",FALSE
"81","BGxh1","BGxh1/102","Fdi",3,"Fd",3,"MRyan",FALSE
"82","BGxh1","BGxh1/102","Pyi",2,"Py",2,"MRyan",FALSE
"83","BGxh1","BGxh1/103","Fdi",2,"Fd",2,"MRyan",FALSE
"84","BGxh1","BGxh1/103","Pyi",2,"Py",2,"MRyan",FALSE
"85","BGxh1","BGxh1/110","At",2,"At",2,"MRyan",FALSE
"86","BGxh1","BGxh1/110","Fdi",2,"Fd",2,"MRyan",FALSE
"87","BGxh1","BGxh1/110","Pyi",2,"Py",2,"MRyan",FALSE
"88","BGxh1","BGxh1/Gg","X",NA,"X",NA,"",FALSE
"89","BGxh2","BGxh1/Fm01","Act",1,"Ac",1,"",FALSE
"90","BGxh2","BGxh1/Fm01","At",2,"At",2,"",FALSE
"91","BGxh2","BGxh1/Fm01","Ep",2,"Ep",2,"",FALSE
"92","BGxh2","BGxh1/Fm01","Fdi",3,"Fd",3,"",FALSE
"93","BGxh2","BGxh1/Fm01","Pyi",3,"Py",3,"",FALSE
"94","BGxh2","BGxh1/Fm06","Act",1,"Ac",1,"",FALSE
"95","BGxh2","BGxh1/Fm06","At",2,"At",2,"",FALSE
"96","BGxh2","BGxh1/Fm06","Ep",2,"Ep",2,"",FALSE
"97","BGxh2","BGxh1/Fm06","Fdi",3,"Fd",3,"",FALSE
"98","BGxh2","BGxh1/Fm06","Pyi",3,"Py",3,"",FALSE
"99","BGxh2","BGxh2/102","Fdi",2,"Fd",2,"MRyan",FALSE
"100","BGxh2","BGxh2/102","Pyi",2,"Py",2,"MRyan",FALSE
"101","BGxh2","BGxh2/110","Fdi",2,"Fd",2,"MRyan",FALSE
"102","BGxh2","BGxh2/110","Pyi",2,"Py",2,"MRyan",FALSE
"103","BGxh2","BGxh2/Fm01","Act",1,"Ac",1,"MRyan",FALSE
"104","BGxh2","BGxh2/Fm01","At",2,"At",2,"MRyan",FALSE
"105","BGxh2","BGxh2/Fm01","Ep",2,"Ep",2,"MRyan",FALSE
"106","BGxh2","BGxh2/Fm01","Fdi",3,"Fd",3,"MRyan",FALSE
"107","BGxh2","BGxh2/Fm01","Pyi",3,"Py",3,"MRyan",FALSE
"108","BGxh2","BGxh2/Fm06","Act",1,"Ac",1,"MRyan",FALSE
"109","BGxh2","BGxh2/Fm06","At",2,"At",2,"MRyan",FALSE
"110","BGxh2","BGxh2/Fm06","Ep",2,"Ep",2,"MRyan",FALSE
"111","BGxh2","BGxh2/Fm06","Fdi",3,"Fd",3,"MRyan",FALSE
"112","BGxh2","BGxh2/Fm06","Pyi",3,"Py",3,"MRyan",FALSE
"113","BGxh2","BGxh2/Gg","X",NA,"X",NA,"",FALSE
"114","BGxh2","BGxh2/Gs","X",NA,"X",NA,"",FALSE
"115","BGxh3","BGxh3/110","Fdi",2,"Fd",2,"",FALSE
"116","BGxh3","BGxh3/111","Fdi",2,"Fd",2,"",FALSE
"117","BGxh3","BGxh3/112","Act",1,"Ac",1,"D6",FALSE
"118","BGxh3","BGxh3/113","Act",1,"Ac",1,"",FALSE
"119","BGxh3","BGxh3/113","Fdi",2,"Fd",2,"",FALSE
"120","BGxh3","BGxh3/Gg","X",NA,"X",NA,"",FALSE
"121","BGxh3","BGxh3/Ro","X",NA,"X",NA,"",FALSE
"122","BGxw1","BGxw1/102","Fdi",2,"Fd",2,"MRyan",FALSE
"123","BGxw1","BGxw1/102","Pyi",2,"Py",2,"MRyan",FALSE
"124","BGxw1","BGxw1/110","Fdi",2,"Fd",2,"MRyan",FALSE
"125","BGxw1","BGxw1/110","Pyi",2,"Py",2,"MRyan",FALSE
"126","BGxw1","BGxw1/111","Fdi",2,"Fd",2,"MRyan",FALSE
"127","BGxw1","BGxw1/111","Pyi",2,"Py",2,"MRyan",FALSE
"128","BGxw1","BGxw1/Fm01","Act",1,"Ac",1,"MRyan",FALSE
"129","BGxw1","BGxw1/Fm01","At",2,"At",2,"MRyan",FALSE
"130","BGxw1","BGxw1/Fm01","Ep",2,"Ep",2,"MRyan",FALSE
"131","BGxw1","BGxw1/Fm01","Fdi",3,"Fd",3,"MRyan",FALSE
"132","BGxw1","BGxw1/Fm01","Pyi",3,"Py",3,"MRyan",FALSE
"133","BGxw1","BGxw1/Fm05","Act",1,"Ac",1,"MRyan",FALSE
"134","BGxw1","BGxw1/Fm05","At",2,"At",2,"MRyan",FALSE
"135","BGxw1","BGxw1/Fm05","Ep",2,"Ep",2,"MRyan",FALSE
"136","BGxw1","BGxw1/Fm05","Fdi",3,"Fd",3,"MRyan",FALSE
"137","BGxw1","BGxw1/Fm05","Pyi",3,"Py",3,"MRyan",FALSE
"138","BGxw1","BGxw1/Gg","X",NA,"X",NA,"",FALSE
"139","BGxw1","BGxw1/Ro","X",NA,"X",NA,"",FALSE
"140","BGxw2","BGxw2/110","Fdi",2,"Fd",2,"",FALSE
"141","BGxw2","BGxw2/111","Fdi",2,"Fd",2,"",FALSE
"142","BGxw2","BGxw2/112","Act",2,"Ac",2,"",FALSE
"143","BGxw2","BGxw2/113","Fdi",1,"Fd",1,"",FALSE
"144","BGxw2","BGxw2/114","At",1,"At",1,"",FALSE
"145","BGxw2","BGxw2/115","At",1,"At",1,"D6",FALSE
"146","BGxw2","BGxw2/101","X",NA,"X",NA,"",FALSE
"147","BGxw2","BGxw2/Gg","X",NA,"X",NA,"",FALSE
"148","BGxw2","BGxw2/Ro","X",NA,"X",NA,"",FALSE
"149","BGxx_WY","BGxx_WY/110","Jr",3,"Jr",3,"",FALSE
"150","BGxx_WY","BGxx_WY/110","Ju",1,"Ju",1,"",FALSE
"151","BGxx_WY","BGxx_WY/110","Pe",2,"Pe",2,"",FALSE
"152","BGxx_WY","BGxx_WY/111","Aa",1,"Aa",1,"",FALSE
"153","BGxx_WY","BGxx_WY/Gg1","X",NA,"X",NA,"",FALSE
"154","BGxx_WY","BGxx_WY/Gg2","X",NA,"X",NA,"",FALSE
"155","BGxx_WY","BGxx_WY/Ro","X",NA,"X",NA,"",FALSE
"156","BSJPap","BSJPap/a","Ep",3,"Ep",3,"B2",FALSE
"157","BSJPap","BSJPap/a","Pj",1,"Pj",1,"B2",FALSE
"158","BSJPap","BSJPap/b","Acb",3,"Ac",3,"C4",FALSE
"159","BSJPap","BSJPap/b","At",1,"At",1,"C4",FALSE
"160","BSJPap","BSJPap/b","Ep",3,"Ep",3,"C4",FALSE
"161","BSJPap","BSJPap/b","Pj",1,"Pj",1,"C4",FALSE
"162","BSJPap","BSJPap/b","Sb",2,"Sb",2,"C4",FALSE
"163","BSJPap","BSJPap/b","Sw",2,"Sx",2,"C4",FALSE
"164","BSJPap","BSJPap/c","Ep",3,"Ep",3,"",FALSE
"165","BSJPap","BSJPap/c","Pj",1,"Pj",1,"",FALSE
"166","BSJPap","BSJPap/c","Sb",1,"Sb",1,"",FALSE
"167","BSJPap","BSJPap/c","Sw",2,"Sx",2,"",FALSE
"168","BSJPap","BSJPap/d","Ep",3,"Ep",3,"",FALSE
"169","BSJPap","BSJPap/d","Pj",1,"Pj",1,"",FALSE
"170","BSJPap","BSJPap/d","Sb",1,"Sb",1,"",FALSE
"171","BSJPap","BSJPap/e","Acb",3,"Ac",3,"D6",FALSE
"172","BSJPap","BSJPap/e","At",1,"At",1,"D6",FALSE
"173","BSJPap","BSJPap/e","Ep",2,"Ep",2,"D6",FALSE
"174","BSJPap","BSJPap/e","Sb",3,"Sb",3,"D6",FALSE
"175","BSJPap","BSJPap/e","Sw",1,"Sx",1,"D6",FALSE
"176","BSJPap","BSJPap/f","Sb",1,"Sb",1,"",FALSE
"177","BSJPap","BSJPap/g","Lt",2,"Lt",2,"",FALSE
"178","BSJPap","BSJPap/g","Sb",1,"Sb",1,"",FALSE
"179","BSJPap","BSJPap/h","Lt",1,"Lt",1,"",FALSE
"180","BSJPap","BSJPap/h","Sb",3,"Sb",3,"",FALSE
"181","BSJPap","BSJPap/Ro","X",NA,"X",NA,"",FALSE
"182","BSJPku","BSJPku/a","Ep",3,"Ep",3,"B2",FALSE
"183","BSJPku","BSJPku/a","Pj",1,"Pj",1,"B2",FALSE
"184","BSJPku","BSJPku/b","Acb",3,"Ac",3,"C4",FALSE
"185","BSJPku","BSJPku/b","At",1,"At",1,"C4",FALSE
"186","BSJPku","BSJPku/b","Ep",3,"Ep",3,"C4",FALSE
"187","BSJPku","BSJPku/b","Pj",1,"Pj",1,"C4",FALSE
"188","BSJPku","BSJPku/b","Sb",2,"Sb",2,"C4",FALSE
"189","BSJPku","BSJPku/b","Sw",2,"Sx",2,"C4",FALSE
"190","BSJPku","BSJPku/c","Ep",3,"Ep",3,"",FALSE
"191","BSJPku","BSJPku/c","Pj",1,"Pj",1,"",FALSE
"192","BSJPku","BSJPku/c","Sb",1,"Sb",1,"",FALSE
"193","BSJPku","BSJPku/c","Sw",2,"Sx",2,"",FALSE
"194","BSJPku","BSJPku/d","Ep",3,"Ep",3,"",FALSE
"195","BSJPku","BSJPku/d","Pj",1,"Pj",1,"",FALSE
"196","BSJPku","BSJPku/d","Sb",1,"Sb",1,"",FALSE
"197","BSJPku","BSJPku/e","Acb",3,"Ac",3,"D6",FALSE
"198","BSJPku","BSJPku/e","At",1,"At",1,"D6",FALSE
"199","BSJPku","BSJPku/e","Ep",2,"Ep",2,"D6",FALSE
"200","BSJPku","BSJPku/e","Sb",3,"Sb",3,"D6",FALSE
"201","BSJPku","BSJPku/e","Sw",1,"Sx",1,"D6",FALSE
"202","BSJPku","BSJPku/f","Sb",1,"Sb",1,"",FALSE
"203","BSJPku","BSJPku/g","Lt",2,"Lt",2,"",FALSE
"204","BSJPku","BSJPku/g","Sb",1,"Sb",1,"",FALSE
"205","BSJPku","BSJPku/h","Lt",1,"Lt",1,"",FALSE
"206","BSJPku","BSJPku/h","Sb",3,"Sb",3,"",FALSE
"207","BSJPku","BSJPku/Ro","X",NA,"X",NA,"",FALSE
"208","BSJPpa","BSJPpa/a","Ep",3,"Ep",3,"B2",FALSE
"209","BSJPpa","BSJPpa/a","Pj",1,"Pj",1,"B2",FALSE
"210","BSJPpa","BSJPpa/b","Acb",3,"Ac",3,"C4",FALSE
"211","BSJPpa","BSJPpa/b","At",1,"At",1,"C4",FALSE
"212","BSJPpa","BSJPpa/b","Ep",3,"Ep",3,"C4",FALSE
"213","BSJPpa","BSJPpa/b","Pj",1,"Pj",1,"C4",FALSE
"214","BSJPpa","BSJPpa/b","Sb",2,"Sb",2,"C4",FALSE
"215","BSJPpa","BSJPpa/b","Sw",2,"Sx",2,"C4",FALSE
"216","BSJPpa","BSJPpa/c","Ep",3,"Ep",3,"",FALSE
"217","BSJPpa","BSJPpa/c","Pj",1,"Pj",1,"",FALSE
"218","BSJPpa","BSJPpa/c","Sb",1,"Sb",1,"",FALSE
"219","BSJPpa","BSJPpa/c","Sw",2,"Sx",2,"",FALSE
"220","BSJPpa","BSJPpa/d","Ep",3,"Ep",3,"",FALSE
"221","BSJPpa","BSJPpa/d","Pj",1,"Pj",1,"",FALSE
"222","BSJPpa","BSJPpa/d","Sb",1,"Sb",1,"",FALSE
"223","BSJPpa","BSJPpa/e","Acb",3,"Ac",3,"D6",FALSE
"224","BSJPpa","BSJPpa/e","At",1,"At",1,"D6",FALSE
"225","BSJPpa","BSJPpa/e","Ep",2,"Ep",2,"D6",FALSE
"226","BSJPpa","BSJPpa/e","Sb",3,"Sb",3,"D6",FALSE
"227","BSJPpa","BSJPpa/e","Sw",1,"Sx",1,"D6",FALSE
"228","BSJPpa","BSJPpa/f","Sb",1,"Sb",1,"",FALSE
"229","BSJPpa","BSJPpa/g","Lt",2,"Lt",2,"",FALSE
"230","BSJPpa","BSJPpa/g","Sb",1,"Sb",1,"",FALSE
"231","BSJPpa","BSJPpa/h","Lt",1,"Lt",1,"",FALSE
"232","BSJPpa","BSJPpa/h","Sb",3,"Sb",3,"",FALSE
"233","BSJPpa","BSJPpa/Ro","X",NA,"X",NA,"",FALSE
"234","BWBScmC","BWBScmC/a","Pj",1,"Pj",1,"",FALSE
"235","BWBScmC","BWBScmC/a","Pli",1,"Pl",1,"",FALSE
"236","BWBScmC","BWBScmC/b","At",3,"At",3,"",FALSE
"237","BWBScmC","BWBScmC/b","Ep",3,"Ep",3,"",FALSE
"238","BWBScmC","BWBScmC/b","Pj",2,"Pj",2,"",FALSE
"239","BWBScmC","BWBScmC/b","Pli",1,"Pl",1,"",FALSE
"240","BWBScmC","BWBScmC/b","Sb",3,"Sb",3,"",FALSE
"241","BWBScmC","BWBScmC/b","Sw",2,"Sx",2,"",FALSE
"242","BWBScmC","BWBScmC/c","Pj",1,"Pj",1,"",FALSE
"243","BWBScmC","BWBScmC/c","Pli",1,"Pl",1,"",FALSE
"244","BWBScmC","BWBScmC/c","Sb",2,"Sb",2,"",FALSE
"245","BWBScmC","BWBScmC/d","Acb",3,"Ac",3,"",FALSE
"246","BWBScmC","BWBScmC/d","At",1,"At",1,"",FALSE
"247","BWBScmC","BWBScmC/d","Bb",3,"Bb",3,"",FALSE
"248","BWBScmC","BWBScmC/d","Ep",3,"Ep",3,"",FALSE
"249","BWBScmC","BWBScmC/d","Pli",1,"Pl",1,"",FALSE
"250","BWBScmC","BWBScmC/d","Sb",3,"Sb",3,"",FALSE
"251","BWBScmC","BWBScmC/d","Sw",1,"Sx",1,"",FALSE
"252","BWBScmC","BWBScmC/e","Acb",1,"Ac",1,"",FALSE
"253","BWBScmC","BWBScmC/e","At",1,"At",1,"",FALSE
"254","BWBScmC","BWBScmC/e","Bb",3,"Bb",3,"",FALSE
"255","BWBScmC","BWBScmC/e","Ep",3,"Ep",3,"",FALSE
"256","BWBScmC","BWBScmC/e","Sw",1,"Sx",1,"",FALSE
"257","BWBScmC","BWBScmC/f","Acb",2,"Ac",2,"",FALSE
"258","BWBScmC","BWBScmC/f","At",2,"At",2,"",FALSE
"259","BWBScmC","BWBScmC/f","Bb",3,"Bb",3,"",FALSE
"260","BWBScmC","BWBScmC/f","Ep",2,"Ep",2,"",FALSE
"261","BWBScmC","BWBScmC/f","Pli",3,"Pl",3,"",FALSE
"262","BWBScmC","BWBScmC/f","Sw",1,"Sx",1,"",FALSE
"263","BWBScmC","BWBScmC/g","Pj",2,"Pj",2,"",FALSE
"264","BWBScmC","BWBScmC/g","Pli",2,"Pl",2,"",FALSE
"265","BWBScmC","BWBScmC/g","Sb",1,"Sb",1,"",FALSE
"266","BWBScmC","BWBScmC/h","Ep",3,"Ep",3,"",FALSE
"267","BWBScmC","BWBScmC/h","Sb",1,"Sb",1,"",FALSE
"268","BWBScmC","BWBScmC/h","Sw",1,"Sx",1,"",FALSE
"269","BWBScmC","BWBScmC/i","Sb",1,"Sb",1,"",FALSE
"270","BWBScmC","BWBScmC/j","Lt",2,"Lt",2,"",FALSE
"271","BWBScmC","BWBScmC/j","Sb",1,"Sb",1,"",FALSE
"272","BWBScmC","BWBScmC/k","Lt",1,"Lt",1,"",FALSE
"273","BWBScmC","BWBScmC/k","Sb",3,"Sb",3,"",FALSE
"274","BWBScmC","BWBScmC/Ro","X",NA,"X",NA,"",FALSE
"275","BWBScmE","BWBScmE/a","Pj",1,"Pj",1,"",FALSE
"276","BWBScmE","BWBScmE/a","Pli",1,"Pl",1,"",FALSE
"277","BWBScmE","BWBScmE/b","At",3,"At",3,"",FALSE
"278","BWBScmE","BWBScmE/b","Ep",3,"Ep",3,"",FALSE
"279","BWBScmE","BWBScmE/b","Pj",2,"Pj",2,"",FALSE
"280","BWBScmE","BWBScmE/b","Pli",1,"Pl",1,"",FALSE
"281","BWBScmE","BWBScmE/b","Sb",3,"Sb",3,"",FALSE
"282","BWBScmE","BWBScmE/b","Sw",2,"Sx",2,"",FALSE
"283","BWBScmE","BWBScmE/c","Pj",1,"Pj",1,"",FALSE
"284","BWBScmE","BWBScmE/c","Pli",1,"Pl",1,"",FALSE
"285","BWBScmE","BWBScmE/c","Sb",2,"Sb",2,"",FALSE
"286","BWBScmE","BWBScmE/d","Acb",3,"Ac",3,"",FALSE
"287","BWBScmE","BWBScmE/d","At",1,"At",1,"",FALSE
"288","BWBScmE","BWBScmE/d","Bb",3,"Bb",3,"",FALSE
"289","BWBScmE","BWBScmE/d","Ep",3,"Ep",3,"",FALSE
"290","BWBScmE","BWBScmE/d","Pli",1,"Pl",1,"",FALSE
"291","BWBScmE","BWBScmE/d","Sb",3,"Sb",3,"",FALSE
"292","BWBScmE","BWBScmE/d","Sw",1,"Sx",1,"",FALSE
"293","BWBScmE","BWBScmE/e","Acb",1,"Ac",1,"",FALSE
"294","BWBScmE","BWBScmE/e","At",1,"At",1,"",FALSE
"295","BWBScmE","BWBScmE/e","Bb",3,"Bb",3,"",FALSE
"296","BWBScmE","BWBScmE/e","Ep",3,"Ep",3,"",FALSE
"297","BWBScmE","BWBScmE/e","Sw",1,"Sx",1,"",FALSE
"298","BWBScmE","BWBScmE/f","Acb",2,"Ac",2,"",FALSE
"299","BWBScmE","BWBScmE/f","At",2,"At",2,"",FALSE
"300","BWBScmE","BWBScmE/f","Bb",3,"Bb",3,"",FALSE
"301","BWBScmE","BWBScmE/f","Ep",2,"Ep",2,"",FALSE
"302","BWBScmE","BWBScmE/f","Pli",3,"Pl",3,"",FALSE
"303","BWBScmE","BWBScmE/f","Sw",1,"Sx",1,"",FALSE
"304","BWBScmE","BWBScmE/g","Pj",2,"Pj",2,"",FALSE
"305","BWBScmE","BWBScmE/g","Pli",2,"Pl",2,"",FALSE
"306","BWBScmE","BWBScmE/g","Sb",1,"Sb",1,"",FALSE
"307","BWBScmE","BWBScmE/h","Ep",3,"Ep",3,"",FALSE
"308","BWBScmE","BWBScmE/h","Sb",1,"Sb",1,"",FALSE
"309","BWBScmE","BWBScmE/h","Sw",1,"Sx",1,"",FALSE
"310","BWBScmE","BWBScmE/i","Sb",1,"Sb",1,"",FALSE
"311","BWBScmE","BWBScmE/j","Lt",2,"Lt",2,"",FALSE
"312","BWBScmE","BWBScmE/j","Sb",1,"Sb",1,"",FALSE
"313","BWBScmE","BWBScmE/k","Lt",1,"Lt",1,"",FALSE
"314","BWBScmE","BWBScmE/k","Sb",3,"Sb",3,"",FALSE
"315","BWBScmE","BWBScmE/Ro","X",NA,"X",NA,"",FALSE
"316","BWBScmNW","BWBScmNW/a","Pj",1,"Pj",1,"",FALSE
"317","BWBScmNW","BWBScmNW/a","Pli",1,"Pl",1,"",FALSE
"318","BWBScmNW","BWBScmNW/b","At",3,"At",3,"",FALSE
"319","BWBScmNW","BWBScmNW/b","Ep",3,"Ep",3,"",FALSE
"320","BWBScmNW","BWBScmNW/b","Pj",2,"Pj",2,"",FALSE
"321","BWBScmNW","BWBScmNW/b","Pli",1,"Pl",1,"",FALSE
"322","BWBScmNW","BWBScmNW/b","Sb",3,"Sb",3,"",FALSE
"323","BWBScmNW","BWBScmNW/b","Sw",2,"Sx",2,"",FALSE
"324","BWBScmNW","BWBScmNW/c","Pj",1,"Pj",1,"",FALSE
"325","BWBScmNW","BWBScmNW/c","Pli",1,"Pl",1,"",FALSE
"326","BWBScmNW","BWBScmNW/c","Sb",2,"Sb",2,"",FALSE
"327","BWBScmNW","BWBScmNW/d","Acb",3,"Ac",3,"",FALSE
"328","BWBScmNW","BWBScmNW/d","At",1,"At",1,"",FALSE
"329","BWBScmNW","BWBScmNW/d","Bb",3,"Bb",3,"",FALSE
"330","BWBScmNW","BWBScmNW/d","Ep",3,"Ep",3,"",FALSE
"331","BWBScmNW","BWBScmNW/d","Pli",1,"Pl",1,"",FALSE
"332","BWBScmNW","BWBScmNW/d","Sb",3,"Sb",3,"",FALSE
"333","BWBScmNW","BWBScmNW/d","Sw",1,"Sx",1,"",FALSE
"334","BWBScmNW","BWBScmNW/e","Acb",1,"Ac",1,"",FALSE
"335","BWBScmNW","BWBScmNW/e","At",1,"At",1,"",FALSE
"336","BWBScmNW","BWBScmNW/e","Bb",3,"Bb",3,"",FALSE
"337","BWBScmNW","BWBScmNW/e","Ep",3,"Ep",3,"",FALSE
"338","BWBScmNW","BWBScmNW/e","Sw",1,"Sx",1,"",FALSE
"339","BWBScmNW","BWBScmNW/f","Acb",2,"Ac",2,"",FALSE
"340","BWBScmNW","BWBScmNW/f","At",2,"At",2,"",FALSE
"341","BWBScmNW","BWBScmNW/f","Bb",3,"Bb",3,"",FALSE
"342","BWBScmNW","BWBScmNW/f","Ep",2,"Ep",2,"",FALSE
"343","BWBScmNW","BWBScmNW/f","Pli",3,"Pl",3,"",FALSE
"344","BWBScmNW","BWBScmNW/f","Sw",1,"Sx",1,"",FALSE
"345","BWBScmNW","BWBScmNW/g","Pj",2,"Pj",2,"",FALSE
"346","BWBScmNW","BWBScmNW/g","Pli",2,"Pl",2,"",FALSE
"347","BWBScmNW","BWBScmNW/g","Sb",1,"Sb",1,"",FALSE
"348","BWBScmNW","BWBScmNW/h","Ep",3,"Ep",3,"",FALSE
"349","BWBScmNW","BWBScmNW/h","Sb",1,"Sb",1,"",FALSE
